x	y	color
38434.65234375	9035.5908203125	0
38194.09765625	9234.9443359375	0
38237.78515625	9247.20703125	0
38204.578125	9201.8681640625	0
38463.1875	9275.228515625	0
38497.390625	9322.7998046875	0
38506.5	9102.94140625	0
38408.3359375	9111.0673828125	0
38338.59375	9145.814453125	0
38366.26171875	9142.7275390625	0
38369.7734375	9096.6484375	0
38343.140625	9115.0439453125	0
38387.5	9148.880859375	0
37917.5703125	9019.3974609375	0
37976.04296875	9044.7314453125	0
37996.9296875	9020.8154296875	0
37958.796875	9008.2978515625	0
37931.359375	8985.7763671875	0
38217.68359375	9094.5341796875	0
38247.6640625	8906.6142578125	0
38234.2890625	8938.9931640625	0
38099.14453125	9033.6064453125	0
38180.21484375	8937.130859375	0
38122.2578125	8994.0068359375	0
38152.95703125	8978.96484375	0
38126.94140625	8950.9775390625	0
38094.05078125	8986.3310546875	0
38039.87890625	8995.7197265625	0
38068.6484375	9007.1767578125	0
38028.30078125	9030.498046875	0
38908.49609375	8102.9404296875	0
38959.41796875	8184.14501953125	0
38942.70703125	7992.5751953125	0
38927.44921875	8071.96240234375	0
39133.38671875	8132.109375	0
39109.3828125	8192.23828125	0
39129.95703125	8168.65771484375	0
39051.15234375	8022.13818359375	0
39116.67578125	8083.8388671875	0
39078.30859375	8075.005859375	0
39059.45703125	8107.63037109375	0
39010.5234375	8090.6357421875	0
39043.51171875	8074.404296875	0
39079.96875	8137.6103515625	0
38993.8984375	8205.82421875	0
39014.28515625	8180.56494140625	0
39027.94921875	8142.54736328125	0
38871.13671875	8617.1923828125	0
38860.24609375	8651.900390625	0
38899.2421875	8657.6357421875	0
38758.71875	8932.234375	0
38866.609375	8991.77734375	0
38847.375	8937.8505859375	0
38818.62890625	8979.2216796875	0
38766.4765625	8971.05859375	0
38870.4375	8917.427734375	0
38934.55859375	8930.61328125	0
38899.01171875	8924.818359375	0
38885.375	8889.8876953125	0
38795.546875	8650.7421875	0
38844.51171875	8701.734375	0
38833.10546875	8634.8828125	0
38819.359375	8672.119140625	0
39123.78125	8267.7255859375	0
38775.30078125	8323.720703125	0
38812.19921875	8342.4716796875	0
39186.60546875	8236.3017578125	0
39148.984375	8246.447265625	0
39157.33984375	8280.9208984375	0
39246.01171875	8273.986328125	0
39345.171875	8227.3017578125	0
39288.9453125	8294.064453125	0
39155.1875	8203.33984375	0
38841.51953125	9028.76171875	0
38908.5078125	9088.767578125	0
38777.984375	9061.1923828125	0
38880.83984375	9054.1279296875	0
38781.90625	9276.4208984375	0
38824.984375	9291.8681640625	0
38753.734375	9282.01171875	0
38905.27734375	9258.765625	0
38914.640625	9307.1826171875	0
38873.97265625	9292.4501953125	0
38842.03125	9266.33984375	0
38779.90234375	9195.7412109375	0
38747.67578125	9244.8486328125	0
38804.65625	9243.83984375	0
38775.73046875	9238.5595703125	0
39047.6796875	9606.935546875	0
38793.21484375	9321.5927734375	0
38753.87109375	9382.4462890625	0
38798.171875	9370.8095703125	0
38818.5546875	9322.0615234375	0
38899.453125	9398.9326171875	0
38889.43359375	9423.2431640625	0
38857.69921875	9333.7080078125	0
38895.73046875	9366.0185546875	0
38923.90234375	9348.55078125	0
38892.68359375	9336.712890625	0
38982.87890625	9234.2021484375	0
39022.55078125	9274.4296875	0
38994.3828125	9267.3056640625	0
39032.95703125	9385.4599609375	0
39287.1484375	9386.921875	0
39062.63671875	9426.708984375	0
39155.96484375	9383.3291015625	0
39066.6171875	9376.67578125	0
39293.98046875	9300.6318359375	0
39387.8359375	9315.4775390625	0
39360.8359375	9278.521484375	0
39356.55859375	9240.5654296875	0
39322.69921875	9252.8154296875	0
39259.12890625	9238.3046875	0
38923.54296875	7920.26123046875	0
38960.60546875	7908.3330078125	0
39762.3046875	8198.09375	0
39719.359375	9087.0712890625	0
39682.6484375	9104.3896484375	0
39756.2578125	9029.8076171875	0
39724.21875	8196.30078125	0
37637.8515625	8598.36328125	0
37621.42578125	8933.126953125	0
37819.2578125	8923.353515625	0
37729.296875	9028.8115234375	0
37723.7734375	8997.6279296875	0
37896.50390625	8988.0341796875	0
37896.07421875	8739.8876953125	0
37858.390625	8816.1533203125	0
37867.484375	8786.2431640625	0
37872.1015625	8758.177734375	0
38408.7109375	8060.1142578125	0
38452.61328125	7961.5166015625	0
38458.59765625	8035.79736328125	0
38451.390625	7998.408203125	0
38484.671875	8183.34912109375	0
38492.17578125	8266.548828125	0
38483.23046875	8210.4990234375	0
38419.0703125	8196.5634765625	0
38418.0625	8104.40625	0
38409.22265625	8153.0966796875	0
38389.2578125	8175.5654296875	0
